Locus_Tag,A_1,A_2,CO_1,CO_2,CO_3,H2_1,H2_2,H2_3,S_1,S_2,S_3
BFJEKD_05945,6.831418068,11.92675511,26.71520884,29.49708963,28.7727123,41.65963932,36.50297681,31.25305862,25.39162488,34.98787903,31.73374947
BFJEKD_05950,4.87564679,8.797440674,22.68510328,22.55369174,27.13631957,18.03327133,14.94599457,13.94851617,14.69679693,35.93353127,18.32120684
BFJEKD_05955,156.1867875,81.22414302,418.1070006,525.4404268,486.893686,416.2292281,502.8502709,370.4480446,443.1062279,476.788036,332.9857324
BFJEKD_05960,55.06334531,112.1463253,98.80375839,67.87303425,72.2277963,537.2977678,431.0466753,207.9181774,52.39792476,69.65179622,98.86268812
BFJEKD_05965,97.14405342,101.0332648,54.17837275,52.75608973,44.48352663,471.5615562,341.8072332,169.1850843,52.0001406,38.66989361,54.39850556
BFJEKD_05970,52.12869296,95.83813287,21.14041479,19.72148852,27.10793171,272.203228,117.5159691,86.52627554,24.09605891,20.64432939,23.50439285
BFJEKD_05975,28.40930227,98.37986519,36.39578962,87.07696268,44.72681238,1068.07367,1161.682911,70.27539777,112.3742958,23.85648627,34.2261372
BFJEKD_05980,19.64751054,55.4080334,17.33377761,51.12764287,24.76295578,1735.294747,1252.287222,48.63493742,61.52923507,17.04380126,22.80885072
BFJEKD_05985,258.6341851,665.9623869,56.54744406,187.0347604,77.44767629,57.89466256,69.49553745,95.96739443,273.4796505,56.61146321,108.8090453
BFJEKD_05990,3638.908298,3806.846764,452.642286,1651.661496,794.3184077,263.0563327,322.8804176,743.3702675,2591.521117,401.1088289,917.4072164
BFJEKD_05995,25.46883099,50.37655819,20.87946247,19.14062216,28.71063525,34.33941715,21.23412199,23.71496888,16.68432844,19.15695939,23.54973512
BFJEKD_06000,6.25719833,36.25278678,21.92483944,23.79963539,27.69090998,32.56675223,26.48386262,23.89399735,8.771882086,28.56773507,32.47253326
BFJEKD_06005,16.15989482,42.76330017,47.71679014,52.38887994,73.11584298,75.79889636,46.23585564,58.44722812,28.99251168,96.08699867,67.07074485
BFJEKD_06010,19.44084316,31.13102679,54.81882402,72.10318109,66.19176996,90.72166692,69.25064279,68.09789244,57.04194309,70.77711728,85.43548674
BFJEKD_06020,180.1529015,131.3812234,440.5069395,1688.514873,587.5908838,166.1889462,224.3069303,538.2858769,984.1598693,422.7827941,1447.353856
BFJEKD_06025,23.09663624,56.34436386,75.97004768,82.6784867,92.80407204,109.9106574,104.2656679,69.4594467,105.5932305,81.17691358,68.12875475
BFJEKD_06030,7.731831761,30.56624381,22.05797513,27.42261195,28.38124682,37.89452169,36.12028397,22.38869672,36.90166148,23.91265405,21.41717943
BFJEKD_06035,4.325226364,12.47188896,5.542997503,7.264068869,8.81922216,9.674936789,6.587694472,4.65476204,10.54415161,8.100027987,5.033261256
BFJEKD_06040,13.75153734,27.7981673,14.95244761,18.3259016,18.57623917,25.38878275,20.84229616,17.41923464,21.2480849,19.45481125,17.29428512
BFJEKD_06045,50.45269487,168.0637237,91.74320657,109.6822067,120.4439119,107.5679642,107.8543467,116.7878765,118.6143492,119.9026003,91.32790217
BFJEKD_06050,11.57128271,66.66953062,23.67344627,21.68771007,46.45470833,48.49412761,43.4625176,30.82267943,21.11017257,37.35212906,22.80815543
BFJEKD_06055,2.639449487,15.30204837,5.259943843,8.655295971,18.38256619,13.99141412,9.091018371,6.492284769,2.385087094,17.97774212,8.389996385
BFJEKD_06060,59.50348867,11.32286877,5.419429924,21.61960234,10.40873313,18.3911409,16.00962959,10.31470525,18.41793552,10.1122675,38.92664682
BFJEKD_06065,57.83988652,13.41707308,6.251050532,16.28123831,18.66474433,16.93498125,11.59018436,12.83065242,15.60867192,15.71153358,45.31944852
BFJEKD_06070,33.59437289,12.10840703,10.0153682,22.30420558,18.59644785,20.70988775,11.46815545,12.67493889,13.26483974,20.99770635,39.17125631
BFJEKD_06075,35.74329328,56.13842393,81.25910432,89.65176938,100.2782306,198.1779043,153.2151341,105.247864,74.28425103,86.49453886,82.77391373
BFJEKD_06080,24.46428521,60.86041966,115.8241854,123.3847169,156.5182266,276.2797353,256.3711099,144.764023,138.238221,114.6446461,99.3370034
BFJEKD_06085,87.22328321,190.9947935,332.9285157,301.551547,392.1001865,480.0726714,484.4001304,329.0459684,604.0967128,278.8170503,224.31283
BFJEKD_06090,362.1426237,569.7094917,764.7696614,1251.867521,806.4994931,1604.013193,1828.350238,859.2838496,1865.049537,972.1353589,845.2059634
BFJEKD_06095,9.646352835,18.91656798,30.64423615,64.61628443,28.55868933,49.30574481,40.27038336,25.90028681,42.19513591,24.85951686,50.95378723
BFJEKD_06100,6.25911419,15.87024223,15.2856275,19.4145919,17.50452567,35.80166765,27.37140661,18.83133778,17.70080888,18.01273829,18.19334037
BFJEKD_06105,35.41894755,34.68210216,255.7461858,191.6812122,274.1509573,109.5218326,129.0466177,124.3334612,188.8298669,352.386971,216.4352791
BFJEKD_06110,10.2976681,10.21293579,6.96486648,11.42902699,8.360592985,8.223277214,6.95437996,9.339730469,7.653313575,7.532455969,15.41803938
BFJEKD_06115,22.35452117,12.86763159,195.6388396,312.018077,195.547878,173.8063866,288.4312229,214.5882243,498.727827,176.7324106,188.9825918
BFJEKD_06120,10.88263644,19.94844792,51.16979361,67.20506178,49.25278162,94.35834032,135.3988574,64.37793561,56.65474355,53.6045507,63.67238549
BFJEKD_06130,2.28247102,40.90763317,87.79738919,33.27915118,60.55274198,80.86415781,68.89165236,43.68864226,16.8956626,64.1619844,38.43713732
BFJEKD_06135,0.905445199,4.339741768,2.086601835,1.917919335,2.07210891,3.936640379,2.496191922,1.428445494,3.746027651,1.977955552,1.419987541
BFJEKD_06140,4.418248396,9.143716341,13.61555653,10.80561295,19.48713661,31.53902408,16.72830282,9.172546063,15.94180944,19.78914703,9.053617192
BFJEKD_06145,540.9897808,359.8561098,236.8803378,427.1210219,224.6883167,187.0254638,140.2282006,352.9065127,249.3904719,233.6509482,695.4418981
BFJEKD_06150,153.5840567,104.029736,71.79229902,157.8054499,81.46862983,78.50674948,53.71994332,128.0632438,95.24985496,93.90988969,254.5049843
BFJEKD_06155,17.1762404,42.25780082,28.76826224,32.4346783,42.2241061,56.65104392,38.28320561,55.06253101,50.30952941,34.95442266,41.69137004
BFJEKD_06160,24.38159569,77.24239729,71.08708725,33.68358708,135.9312348,191.7750919,120.7578881,127.2551611,157.0285796,57.47514596,32.41575317
BFJEKD_06165,45.57373846,61.22649738,121.8617902,149.9492065,120.2017915,62.77612251,49.58106892,87.79301185,343.9224777,76.6381069,87.33203637
BFJEKD_06170,101.794613,189.3861248,114.4993258,269.957394,103.5867989,134.3920249,191.1987545,113.9832018,167.673597,93.10539256,224.2216232
BFJEKD_06175,613.2432871,928.0352964,393.2172292,945.748658,377.9603874,277.5024674,475.0777926,366.0857375,701.7290804,290.0968284,647.2581035
BFJEKD_06180,27.39159476,8.830002123,105.9166356,667.278531,124.4776915,20.58557912,20.27701703,47.82253158,272.339732,67.17163635,518.2108574
BFJEKD_06185,69.56525219,11.49609324,165.6562426,1250.758065,213.1181746,30.00178702,33.18007484,75.65871572,484.8525742,122.2888137,922.8203921
BFJEKD_06190,54.24078778,18.59753084,125.7928762,611.7763418,139.7605009,25.09503977,28.00650858,59.36451419,314.283381,78.7469031,407.7946038
BFJEKD_06195,96.59785001,21.70668851,162.387528,698.469261,179.051666,58.55758795,46.24649944,82.09726836,494.9948435,94.56290391,400.1262812
BFJEKD_06200,24.53545006,24.72587085,50.80904384,292.9811822,76.73210622,72.01307297,52.56096473,28.65165519,257.5081133,59.24402177,110.7505862
BFJEKD_06205,111.4934804,141.4364537,118.8299396,1053.498146,204.257194,291.0466946,291.1042299,125.1006592,1380.748601,161.3611975,263.8280051
BFJEKD_06210,103.0948148,75.02869417,295.9446181,296.254494,527.9656513,381.94538,259.5049421,192.2492264,281.0300103,368.0065899,224.7712924
BFJEKD_06215,69.13585855,46.79138759,107.7961083,160.2832587,125.6329173,74.90911619,85.25892184,65.0237833,245.9889571,136.195016,82.52005282
BFJEKD_06220,47.09455061,23.30084639,39.92516145,24.81528309,47.72616564,21.01195066,33.66782425,58.60962876,34.92448959,47.60656449,28.42155777
BFJEKD_06225,9.934695698,17.43004822,36.07641265,31.06896031,51.87728668,27.62112305,20.22600249,26.37914154,37.3151256,45.15964577,21.01428048
