"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_02405",1111,1447,2634,2526,2193,3004,4127,3333,1687,2334,2540
"BFJEKD_02410",296,191,559,1612,543,678,731,571,2129,596,1352
"BFJEKD_02415",1862,1623,1534,2182,2032,4129,3223,2108,2811,2446,1740
"BFJEKD_02420",6336,2296,3190,10731,3602,1558,2199,3694,7213,2450,8737
"BFJEKD_02425",800,802,545,819,511,468,983,791,1328,467,568
"BFJEKD_02430",982,1336,1152,1296,986,1407,2547,2927,785,914,1252
"BFJEKD_02435",299,308,91,204,84,239,345,148,470,99,138
"BFJEKD_02440",395,792,97,158,115,507,567,230,378,141,171
"BFJEKD_02445",1271,1322,975,972,871,765,951,983,873,1613,1389
"BFJEKD_02450",5865,2423,2450,2826,2655,1196,2128,2761,2943,4173,4147
"BFJEKD_02455",154,128,30,96,66,31,78,63,100,98,74
"BFJEKD_02460",1941,5680,1969,1624,1354,250,513,958,2453,1731,1455
"BFJEKD_02465",1838,6139,3038,1600,2518,4498,4556,5930,1282,1908,2113
"BFJEKD_02470",91,386,176,99,163,723,471,544,94,187,240
"BFJEKD_02475",32,164,53,37,72,109,87,140,41,115,40
"BFJEKD_02480",61,267,155,104,165,147,98,210,80,218,100
"BFJEKD_02485",439,644,387,247,391,152,126,431,276,452,241
"BFJEKD_02490",8301,2229,345,198,132,357,282,191,418,156,161
"BFJEKD_02495",420,227,545,534,444,327,469,451,329,450,377
"BFJEKD_02500",230,534,612,387,444,586,1014,648,210,422,406
"BFJEKD_02505",267,800,480,318,670,1065,938,663,181,494,359
"BFJEKD_02510",98,266,205,192,287,402,272,254,312,311,189
"BFJEKD_02515",130,224,416,351,507,956,1467,706,499,512,248
"BFJEKD_02520",26,67,88,107,162,198,120,83,144,231,49
"BFJEKD_02525",509,847,2525,1656,2202,1854,1422,3284,980,3332,2049
"BFJEKD_02530",474,770,1654,866,1370,1444,1465,2436,510,2099,1320
"BFJEKD_02535",242,323,560,434,442,552,671,901,246,827,549
"BFJEKD_02540",548,441,1423,1251,1643,1637,1967,2339,865,1708,1459
"BFJEKD_02545",254,256,3362,1303,10608,198,290,246,1114,4220,438
"BFJEKD_02550",66,121,85,116,295,82,85,43,102,234,39
"BFJEKD_02555",117,214,311,174,345,324,268,279,122,359,174
"BFJEKD_02560",54,118,84,72,86,135,90,83,75,115,56
"BFJEKD_02565",125,120,193,163,138,96,121,90,200,160,87
"BFJEKD_02570",80,103,115,117,96,67,83,101,117,135,59
"BFJEKD_02575",99,164,287,170,194,171,201,272,335,204,117
"BFJEKD_02580",86,297,296,109,154,186,200,428,222,181,124
"BFJEKD_02585",106,365,3843,453,1299,793,764,1061,621,1190,331
"BFJEKD_02590",347,1117,3429,1390,3173,2093,2397,2060,1346,5394,597
"BFJEKD_02595",180,262,234,501,311,2719,4099,246,747,295,175
"BFJEKD_02600",1062,1688,1255,1204,1681,3760,3294,1576,2590,1399,967
"BFJEKD_02605",40,52,57,44,37,111,128,55,48,78,39
"BFJEKD_02610",202,336,330,225,469,374,328,251,170,431,209
"BFJEKD_02615",124,225,311,129,351,189,147,151,85,352,153
"BFJEKD_02620",115,262,362,155,393,247,131,265,109,419,221
"BFJEKD_02625",203,547,673,466,628,567,770,1912,508,527,484
"BFJEKD_02630",23807,71849,3555,2477,1753,40086,70438,115503,5229,1286,2637
"BFJEKD_02635",5883,2717,5170,5188,8964,12663,11854,5717,10376,8704,3928
"BFJEKD_02640",50693,7706,9325,10474,9075,16215,30851,12091,30606,8554,7657
"BFJEKD_02645",200,506,559,386,600,574,423,1060,337,758,468
"BFJEKD_02650",249,437,860,571,997,822,946,2240,596,927,886
"BFJEKD_02655",510,534,1649,812,1018,963,1453,2589,920,1090,1549
