"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_15680",1588,982,849,1937,437,322,654,881,1643,802,1688
"BFJEKD_15685",5279,1991,1577,3168,1154,789,1204,1909,2245,1246,2823
"BFJEKD_15695",1712,7179,2036,2307,2500,8479,5369,3614,2380,2322,2314
"BFJEKD_15700",9274,17975,11826,10123,10987,5079,5612,13912,4363,10195,15883
"BFJEKD_15705",22680,34593,28057,24599,24150,13166,23084,33521,38590,21969,22879
"BFJEKD_15710",91293,65072,29441,56759,27148,25712,34354,49414,59566,29693,62965
"BFJEKD_15715",2199,2688,7723,5060,8387,3633,4792,6350,5768,9822,5128
"BFJEKD_15725",6674,5660,3638,5045,4680,2715,3552,5452,4703,2954,5012
"BFJEKD_15730",814,1001,1049,1241,1823,2982,2612,1681,2451,1971,855
"BFJEKD_15735",759,1518,1481,1387,2684,3583,2594,1634,2810,2394,1032
"BFJEKD_15740",581,1393,1320,1164,2629,2522,1885,1356,1492,2436,955
"BFJEKD_15745",1419,3493,4329,2645,7764,4074,3336,2731,2718,6677,2151
"BFJEKD_15750",375,758,1126,850,1529,658,670,551,471,1800,661
"BFJEKD_15755",1268,2479,5465,2529,5855,1572,1522,2514,1697,6810,3487
"BFJEKD_15760",1925,3329,12546,4916,10317,1701,1988,5930,2988,13403,7417
"BFJEKD_15765",1279,2222,10365,3222,7796,1013,1372,4071,1282,8859,5923
"BFJEKD_15770",500,899,3264,1132,2404,485,536,1383,412,3309,2194
"BFJEKD_15775",294,562,1278,889,1044,316,391,702,461,1885,1201
"BFJEKD_15780",170,552,1903,493,1472,197,299,901,171,1592,1068
"BFJEKD_15785",1975,4450,16458,5408,16605,1801,2315,7471,2135,19433,10965
"BFJEKD_15790",1221,2540,13877,4335,13274,1098,1390,5262,1331,15274,7821
"BFJEKD_15795",977,2110,13206,3536,10717,796,1054,3897,1157,11983,6527
"BFJEKD_15800",105,269,493,304,418,126,212,311,271,565,477
"BFJEKD_15805",714,1010,983,794,773,771,767,704,562,755,1245
"BFJEKD_15810",1261,4076,2029,1939,1459,3835,3504,2508,633,1866,3815
"BFJEKD_15815",3825,5446,13471,9261,10538,7079,10286,12398,12312,8398,7067
"BFJEKD_15820",323,617,1591,1210,1101,1435,1796,1825,1118,1283,1236
"BFJEKD_15825",124,298,219,276,159,458,451,288,405,249,243
"BFJEKD_15830",2980,19426,1425,1269,1223,2620,2869,2112,2941,1287,1990
"BFJEKD_15835",1098,26741,2175,1091,2023,4774,3387,3305,1026,2142,2681
"BFJEKD_15840",105,3101,389,220,546,756,387,557,192,532,440
"BFJEKD_15845",202,3890,860,535,1301,1105,702,1308,324,1303,854
"BFJEKD_15850",82,1097,470,241,559,233,170,381,187,546,348
"BFJEKD_15855",62,495,294,200,298,302,324,222,234,445,215
"BFJEKD_15860",27,285,87,50,73,138,126,81,34,93,52
"BFJEKD_15865",487,3047,815,1151,1239,2893,2611,2313,731,1434,1181
"BFJEKD_15870",1464,928,10110,6840,4982,4498,11722,11610,5412,6217,7535
"BFJEKD_15875",201,492,961,617,660,2110,1987,1255,909,701,620
"BFJEKD_15880",6079,5725,6471,5865,5509,3186,6562,6389,4222,3758,3068
"BFJEKD_15885",10616,5405,5846,5850,8986,17234,15231,7329,14738,6234,2540
"BFJEKD_15890",1597,2041,1158,1428,3070,5907,3451,1960,1208,2657,869
"BFJEKD_15895",403,1387,1663,1125,2324,3580,2777,1672,1953,1690,815
"BFJEKD_15900",1915,2259,1455,1483,1915,1921,2236,1715,2424,1711,1003
"BFJEKD_15905",386,1202,616,770,727,755,1401,826,627,969,573
"BFJEKD_15910",374,844,922,848,788,1345,1592,1071,793,1141,860
"BFJEKD_15915",588,1552,1788,1000,1867,2711,1788,2245,1010,1527,1099
"BFJEKD_15920",2835,4168,3166,2989,2891,3697,4754,4382,4050,3065,2761
"BFJEKD_15925",2998,5442,8919,4943,9222,10841,9463,9483,4510,9819,6170
"BFJEKD_15930",493,892,1587,1016,1449,1037,1078,1182,627,2041,1216
"BFJEKD_15935",861,1894,4040,1776,3191,2279,1864,2930,935,3733,2524
"BFJEKD_15940",152,566,1155,534,937,679,545,891,161,1106,894
"BFJEKD_15945",49,231,344,194,274,272,203,309,148,386,302
"BFJEKD_15950",158,357,523,315,578,361,275,393,344,594,328
"BFJEKD_15955",3562,3944,44622,21935,42008,23056,27664,35194,46474,31969,25984
"BFJEKD_15960",1099,1518,5021,3499,4726,8232,6894,9429,905,5595,6207
"BFJEKD_15965",540,372,539,565,500,317,476,307,840,498,392
"BFJEKD_15970",2887,1232,770,1204,1091,526,809,668,2074,805,821
"BFJEKD_15975",17390,35535,1127,3479,1650,836,1292,1609,7381,954,1199
"BFJEKD_15980",11361,12849,1980,5483,2483,2009,2172,3295,5608,2161,4696
"BFJEKD_15985",1480,2996,1068,1560,1115,5412,4722,3126,1692,1017,1790
"BFJEKD_15990",1016,2924,1191,1081,1291,1268,985,1611,730,1346,1412
"BFJEKD_15995",536,2329,3023,1604,4360,1690,1415,1537,1165,4539,1476
"BFJEKD_16000",417,712,686,704,471,362,847,634,1356,615,503
"BFJEKD_16005",261,833,341,348,249,545,1253,601,162,309,284
"BFJEKD_16010",261,1168,1071,773,1135,1219,1027,1576,444,1248,959
"BFJEKD_16015",57,208,146,117,183,216,189,331,96,270,198
"BFJEKD_16020",1276,3165,4432,2567,4376,2316,3556,6135,1811,3766,3136
"BFJEKD_16025",481,3052,429,342,350,1474,1298,1875,518,286,346
"BFJEKD_16030",856,1830,1692,1121,1607,1257,1392,2014,804,1301,1372
"BFJEKD_16035",384,662,631,712,592,698,865,902,567,552,640
"BFJEKD_16040",1123,1765,2444,2307,2152,4574,4864,2725,5971,1946,1429
"BFJEKD_16045",2901,3583,4274,4421,3275,4874,9552,6444,13275,2037,2557
"BFJEKD_16050",87,113,425,180,289,539,570,417,389,261,162
"BFJEKD_16055",3581,3212,878,2313,748,1156,1554,698,1375,784,1329
"BFJEKD_16060",1038,1641,814,967,1073,1689,2230,907,1095,842,715
"BFJEKD_16065",253,324,70,81,40,146,355,96,333,63,53
"BFJEKD_16070",523,691,657,540,536,1345,1267,897,1226,710,480
"BFJEKD_16075",363,737,2096,1118,1375,1137,1449,1393,1137,1274,1122
"BFJEKD_16080",3047,2352,3425,5762,2992,3395,5048,5733,11243,3660,4047
"BFJEKD_16085",312,992,214,299,160,744,947,397,374,234,286
"BFJEKD_16090",158,753,173,255,151,850,723,423,306,184,218
"BFJEKD_16095",541,1615,442,526,296,629,986,756,495,294,503
"BFJEKD_16100",340,739,368,466,276,232,449,441,626,414,341
"BFJEKD_16105",1141,9397,1507,1147,861,1184,1475,871,2688,1052,1389
"BFJEKD_16110",578,1131,1108,1166,856,822,1686,1242,2166,575,751
"BFJEKD_16115",675,1204,1229,1331,912,1047,1873,1874,2455,932,1045
"BFJEKD_16120",465,960,1254,968,976,882,1381,1183,1756,1155,793
"BFJEKD_16125",2,14,28,12,38,5,1,4,2,43,20
"BFJEKD_16130",74,272,467,172,596,84,70,158,144,682,238
"BFJEKD_16135",201,413,387,388,581,341,294,258,408,690,290
"BFJEKD_16140",23,53,71,53,83,59,56,61,55,119,54
"BFJEKD_16145",27,115,28,29,89,57,37,36,44,80,15
"BFJEKD_16150",28,67,97,42,197,186,112,89,42,170,55
"BFJEKD_16155",18,60,67,34,113,108,77,97,23,87,31
"BFJEKD_16160",7,44,32,29,117,145,108,87,20,67,38
"BFJEKD_16165",39,329,209,210,444,497,463,312,170,334,143
"BFJEKD_16170",345,1150,2650,1901,5122,2358,2917,3019,1694,3519,1672
"BFJEKD_16175",47,210,53,55,61,83,68,95,79,98,81
"BFJEKD_16180",33,100,83,42,58,79,100,105,47,88,53
"BFJEKD_16185",1528,10670,527,501,435,338,533,375,1333,734,929
"BFJEKD_16195",684,2842,1699,1229,2023,2571,2373,1598,1264,2000,1174
"BFJEKD_16205",1859,4143,2732,2356,2595,2839,2763,2736,2534,2418,1746
"BFJEKD_16210",517,413,281,939,270,532,570,864,592,331,933
"BFJEKD_16215",465,601,542,794,576,629,833,1044,1064,575,712
"BFJEKD_16220",228,331,137,121,127,121,107,122,175,126,132
"BFJEKD_16225",292,384,140,246,147,107,167,190,296,145,186
"BFJEKD_16230",120,476,238,269,235,530,407,297,352,239,265
"BFJEKD_16235",534,626,1377,1411,1489,2381,2932,1740,2704,1316,1058
"BFJEKD_16240",503,540,569,607,572,1676,1933,932,878,543,640
"BFJEKD_16250",3578,2912,3588,3153,1969,3667,5754,5104,3539,2608,2815
"BFJEKD_16255",1194,1218,1648,1211,793,2485,3022,2359,1059,1075,1111
"BFJEKD_16260",3083,2202,11936,12027,23677,5113,7023,9422,10761,15175,9617
"BFJEKD_16265",289,412,1006,1758,1298,974,1492,1106,2153,1816,1316
"BFJEKD_16270",100,174,168,287,145,162,201,133,458,208,179
"BFJEKD_16275",78,201,77,103,64,184,253,83,220,75,65
"BFJEKD_16280",413,1405,1056,813,1096,1350,1783,1142,1394,1085,775
"BFJEKD_16285",1702,1298,956,1592,787,924,1004,1066,2257,737,997
"BFJEKD_16290",3389,3344,1135,2399,1194,1240,1328,1765,3099,1089,1428
"BFJEKD_16295",374,1279,2181,1655,3748,8078,3677,2593,2288,4280,1433
"BFJEKD_16300",119,563,704,462,1144,1840,742,643,338,957,317
"BFJEKD_16305",1114,1185,1399,1089,1491,1112,1796,1892,1698,1553,1086
"BFJEKD_16310",959,1276,1750,1488,1631,1410,2364,1979,1761,1971,1548
"BFJEKD_16320",455,308,824,1273,668,844,1544,1000,2319,784,738
"BFJEKD_16325",891,410,754,700,674,137,221,316,2011,762,367
"BFJEKD_16330",315,221,435,408,252,140,202,170,491,378,295
"BFJEKD_16335",72,65,54,120,56,63,72,58,184,83,72
"BFJEKD_16340",143,169,160,146,172,146,143,169,288,166,128
"BFJEKD_16345",179,622,583,298,707,858,761,1147,218,620,422
"BFJEKD_16350",1417,1549,4012,3420,3324,2998,4662,4341,3466,3233,3274
"BFJEKD_16355",1140,477,487,468,508,2760,2948,1760,1019,497,425
"BFJEKD_16360",789,1083,495,446,964,3903,2088,2138,612,819,401
"BFJEKD_16365",843,1102,892,627,1042,1545,1160,1618,573,1151,464
"BFJEKD_16370",1492,1263,2031,1858,1703,1052,1128,1302,1742,1871,1876
"BFJEKD_16375",1379,1224,1518,1620,1483,1760,1751,1323,1521,1393,2410
"BFJEKD_16380",420,746,469,465,604,768,595,530,481,681,860
"BFJEKD_16385",704,1706,4113,2000,4442,2465,3064,3429,1706,3698,1972
"BFJEKD_16390",60,271,312,156,284,455,471,332,51,318,231
"BFJEKD_16395",1230,2402,1283,1657,1746,2893,3131,5283,1372,1528,1531
"BFJEKD_16400",363,2190,1103,991,1066,3014,4553,3448,329,1266,1376
"BFJEKD_16405",414,162,873,577,753,241,489,679,763,870,409
"BFJEKD_16410",362,1294,741,920,445,775,1873,1333,624,729,929
"BFJEKD_16415",176,200,102,116,65,306,327,189,118,132,96
"BFJEKD_16420",757,1295,2273,2176,1397,1409,3836,3243,1427,1380,1738
"BFJEKD_16425",1069,1953,1314,2435,1390,1803,2923,1993,4960,2117,1544
"BFJEKD_16430",543,1968,845,774,1312,1200,1336,1187,1257,920,653
"BFJEKD_16435",4388,4899,24557,14824,22527,31094,26144,16280,11895,17666,13989
"BFJEKD_16440",2773,3143,13196,13118,13297,11282,8945,15526,8051,14520,15121
"BFJEKD_16445",3522,1521,860,1752,597,454,477,690,1817,775,1537
"BFJEKD_16450",67,196,58,91,48,192,158,94,239,54,36
"BFJEKD_16455",156,404,339,375,196,597,928,465,917,236,202
"BFJEKD_16460",316,702,1430,1520,1934,1058,1083,830,5080,2163,701
"BFJEKD_16465",123,499,806,658,794,534,589,501,1984,844,371
"BFJEKD_16470",137,563,582,498,702,319,412,385,364,800,294
"BFJEKD_16475",890,2899,2624,1863,3464,3682,3072,2724,2184,2944,1472
"BFJEKD_16480",91,353,205,304,278,409,364,211,221,401,211
"BFJEKD_16485",127,448,227,264,370,485,392,276,303,410,177
"BFJEKD_16490",1175,3329,1696,1664,2808,4164,3866,2257,4125,1737,1109
"BFJEKD_16495",192,692,437,379,582,902,809,583,618,460,307
"BFJEKD_16500",380,1155,483,487,489,1161,1290,1013,590,563,483
"BFJEKD_16510",825,3485,1542,1841,1633,3322,3046,1783,2684,1803,1385
"BFJEKD_16515",1528,845,1298,1712,875,705,1413,1115,1117,1062,1314
"BFJEKD_16520",1976,944,1152,1856,905,565,963,1184,2106,946,1402
"BFJEKD_16525",825,604,209,823,190,288,311,318,682,188,667
"BFJEKD_16530",1943,4704,452,671,220,1570,1457,1176,773,286,604
"BFJEKD_16535",124,573,64,94,60,137,106,86,146,94,78
"BFJEKD_16540",476,742,170,147,202,563,460,102,963,169,116
"BFJEKD_16545",417,314,111,115,127,349,328,54,1138,132,104
"BFJEKD_16550",644,268,156,130,159,313,353,49,1461,152,113
"BFJEKD_16555",1985,669,650,279,479,599,991,108,4131,308,285
"BFJEKD_16560",2078,3131,2415,1149,1409,3604,4474,1336,3341,1102,714
"BFJEKD_16565",375,345,330,282,281,470,626,462,678,258,246
"BFJEKD_16570",2230,10803,404,258,125,1741,1421,1051,754,247,513
"BFJEKD_16575",1043,2419,555,562,340,1068,1118,987,600,431,593
"BFJEKD_16580",302,905,339,248,219,494,582,530,276,277,332
"BFJEKD_16585",217,1132,240,190,256,514,494,428,297,257,229
"BFJEKD_16590",62,733,258,153,240,188,130,95,679,226,114
"BFJEKD_16595",8882,3217,873,2492,1040,673,643,802,2288,1227,2728
"BFJEKD_16600",1952,1867,919,1108,1024,344,388,684,855,1002,1664
"BFJEKD_16605",344,2056,937,1183,1083,1382,1193,1352,418,1451,1388
"BFJEKD_16610",561,803,1317,1908,1061,1137,1506,1489,486,1061,1918
"BFJEKD_16615",206,1528,407,427,533,776,683,526,381,585,355
"BFJEKD_16620",601,1909,1440,1000,1151,1606,1765,2217,948,1051,894
"BFJEKD_16625",1461,3195,1740,2129,1003,1315,3046,2219,2341,1498,1414
"BFJEKD_16630",2852,5384,3810,3004,2603,1586,3490,4511,4355,2941,2338
"BFJEKD_16635",207,1264,188,272,219,402,418,203,398,328,286
"BFJEKD_16640",525,1103,762,608,686,681,814,691,614,855,756
"BFJEKD_16645",478,658,525,598,445,481,615,520,569,728,524
"BFJEKD_16650",1897,2448,3077,3357,2843,1837,2868,3561,2755,3327,3074
"BFJEKD_16655",235,251,206,169,82,398,561,169,347,166,266
"BFJEKD_16660",4707,2192,2638,1992,2368,1968,3150,1901,4793,1637,1861
"BFJEKD_16665",9171,4494,4674,4031,4269,3786,5539,3321,9262,3074,3391
"BFJEKD_16670",2987,1972,1210,1493,1095,1264,1741,840,4590,1160,1064
"BFJEKD_16675",56,126,70,103,67,103,129,109,171,61,61
"BFJEKD_16680",48,141,41,71,35,278,232,87,186,36,22
"BFJEKD_16690",601,5786,3713,1365,3471,2015,1856,3209,670,3642,2112
"BFJEKD_16695",248,1074,2157,825,1515,1133,1114,1810,387,1628,1033
"BFJEKD_16700",1310,8565,3479,2440,4230,12139,9466,6670,2115,4692,2639
"BFJEKD_16705",2986,1835,839,1787,716,2087,2790,1659,4237,1181,1025
"BFJEKD_16710",15990,13183,121252,65040,82900,12363,21734,112892,20577,84599,88514
"BFJEKD_16715",2493,2480,8177,7725,6438,2127,3527,6403,3494,5891,6156
"BFJEKD_16720",674,429,2780,1489,2763,473,620,1558,833,3946,1439
"BFJEKD_16725",630,379,1666,1308,2740,656,541,1126,888,3710,1023
"BFJEKD_16730",1512,1681,4061,2335,8380,4976,2495,3468,2366,7280,2224
"BFJEKD_16735",922,1975,2892,1869,5394,6157,4743,3394,1917,5118,1912
"BFJEKD_16740",4544,2472,1926,3039,1969,1529,1525,2315,2701,2037,3003
"BFJEKD_16745",280,615,316,502,218,246,284,315,478,359,516
"BFJEKD_16750",445,1294,529,599,511,650,649,527,694,544,434
"BFJEKD_16755",661,585,328,577,434,730,583,324,1750,473,267
"BFJEKD_16760",386,404,570,795,840,1416,1139,506,1954,977,386
"BFJEKD_16765",289,852,1094,819,1053,1711,2203,1124,742,967,721
"BFJEKD_16770",25319,25720,55061,65014,27121,25365,67705,66173,98099,27462,35439
"BFJEKD_16775",175,350,182,172,127,235,371,298,232,151,158
"BFJEKD_16780",23151,12764,12682,25862,19123,5814,6101,13999,7519,11405,38195
"BFJEKD_16785",5343,5104,4789,7418,6620,3379,3688,4086,3813,5528,8186
"BFJEKD_16790",667,899,725,1039,802,779,698,645,898,846,1007
"BFJEKD_16795",913,997,1097,1254,1327,816,924,789,1392,1244,900
"BFJEKD_16800",452,756,1009,1693,1579,2022,1362,1095,2187,1708,970
"BFJEKD_16805",599,4298,2016,1970,2900,3551,3343,2222,3913,2985,1226
"BFJEKD_16810",213,509,659,456,858,921,935,730,941,573,378
"BFJEKD_16815",599,1226,2144,1742,1465,1393,2812,2082,1602,1636,1471
"BFJEKD_16820",49,485,348,257,438,504,341,292,264,379,145
"BFJEKD_16825",58,321,666,605,1105,1080,821,683,583,1151,314
"BFJEKD_16830",284,1037,2355,1951,3329,4661,4434,3238,2491,3269,1160
"BFJEKD_16835",117,633,481,288,852,1296,860,456,293,610,296
"BFJEKD_16840",92,677,396,299,575,958,751,437,268,521,231
"BFJEKD_16845",427,2392,1487,1107,2240,2852,2444,1541,1967,2371,920
"BFJEKD_16850",58,437,178,112,157,106,108,99,205,242,125
"BFJEKD_16855",65,437,191,202,243,178,142,143,257,197,223
"BFJEKD_16860",43,230,93,134,117,205,100,66,57,204,178
"BFJEKD_16865",151,760,526,437,571,466,600,323,331,668,516
"BFJEKD_16870",938,2093,2567,1875,3176,1695,2174,1861,3010,2943,1505
"BFJEKD_16875",695,4983,2553,1409,3152,1915,1419,1460,1905,2992,1737
"BFJEKD_16880",647,2023,980,929,1140,1213,1538,1127,1120,917,817
"BFJEKD_16885",7004,4448,2437,3854,2021,1051,1298,2296,3503,1990,4130
"BFJEKD_16890",9715,13870,1127,3809,1654,804,1158,1937,8852,1145,2588
"BFJEKD_16895",278,245,409,452,411,586,819,421,1135,350,328
"BFJEKD_16900",730,1468,2219,2013,1691,2228,2894,1879,4494,1540,1255
"BFJEKD_16905",57374,24613,59620,20429,43785,33449,62034,71935,10206,70591,35112
"BFJEKD_16910",1204,3978,7622,5052,9602,6025,6347,8963,4937,10681,3765
"BFJEKD_16915",435,590,320,376,309,328,335,261,1093,285,200
"BFJEKD_16920",253,319,333,212,268,161,170,241,707,199,151
"BFJEKD_16925",8503,3818,6836,2754,5654,128,248,2869,3331,5963,2776
"BFJEKD_16930",126,130,113,152,122,90,88,134,164,152,184
"BFJEKD_16935",98,126,182,172,169,177,152,193,228,192,199
"BFJEKD_16940",107,230,149,181,148,147,165,122,364,162,138
"BFJEKD_16945",127,397,220,211,204,197,271,211,432,223,183
"BFJEKD_16950",93,315,198,221,136,121,215,185,696,196,220
"BFJEKD_16955",20,74,84,87,108,55,47,126,34,167,58
"BFJEKD_16960",1087,3071,2630,2098,4322,3769,2592,3922,2734,4614,1917
"BFJEKD_16965",1266,435,4182,3180,4439,619,902,2185,3989,5347,2932
"BFJEKD_16970",3736,4694,7268,9489,8215,5899,7660,9262,8484,7329,8703
"BFJEKD_16975",2074,1203,1593,6348,2183,2232,2097,1393,5326,3571,3947
"BFJEKD_16990",1223,661,1518,4363,1268,1380,1508,1245,2962,1349,4389
"BFJEKD_16995",230,287,608,818,326,717,856,598,744,464,848
"BFJEKD_17000",311,1144,2092,2013,1266,1375,2076,1650,3208,1939,1200
"BFJEKD_17005",106,323,516,347,1048,823,556,401,275,743,248
"BFJEKD_17010",1681,2512,2939,3101,5294,2560,2733,2351,5390,4414,2086
"BFJEKD_17015",322,676,1217,1207,1622,1470,1198,1220,2199,1939,1007
"BFJEKD_17020",1202,2848,5520,3927,5910,5147,6817,8098,2246,5696,4539
"BFJEKD_17025",549,1094,1689,1256,1745,1798,1949,2193,926,1881,1371
"BFJEKD_17030",136,339,391,390,396,543,512,570,326,506,390
"BFJEKD_17035",30,130,144,91,73,165,163,234,71,109,165
"BFJEKD_17040",39,45,236,125,120,166,173,361,104,194,236
"BFJEKD_17045",91,243,153,186,156,196,198,164,224,162,209
"BFJEKD_17050",181,399,372,449,314,335,488,410,670,332,465
"BFJEKD_17055",2334,2957,1893,3280,1154,1101,1444,1908,2267,1363,3888
"BFJEKD_17060",1945,1133,2298,7904,1830,1217,1591,2032,6729,1724,7048
"BFJEKD_17065",190,801,371,508,328,593,937,765,549,337,336
"BFJEKD_17070",277,1035,937,729,885,1048,1120,1270,1051,1041,889
"BFJEKD_17075",2877,2630,7931,5392,5719,6498,8925,7796,9750,6466,5726
"BFJEKD_17080",44670,16973,125231,43765,109638,14596,20721,59615,15329,106784,75737
"BFJEKD_17085",23,109,82,73,103,72,71,90,63,132,83
"BFJEKD_17090",49,221,280,207,216,262,200,286,156,393,275
"BFJEKD_17095",158,615,456,349,612,438,412,508,398,659,376
"BFJEKD_17100",292,930,684,679,943,757,926,881,913,1061,508
"BFJEKD_17105",421,1652,2036,1135,2457,2382,2479,2731,1503,2401,1285
"BFJEKD_17110",331,762,1306,493,1527,1206,1125,1578,409,1029,660
"BFJEKD_17115",209,619,155,149,135,385,501,264,35,262,186
"BFJEKD_17120",706,1773,673,740,1153,1046,1437,1171,539,1164,614
"BFJEKD_17125",2103,9781,6097,4780,14552,12133,8079,9312,7193,9685,3498
"BFJEKD_17130",328,2324,2160,1207,1867,3362,4009,2630,1099,1475,1069
"BFJEKD_17135",1256,4099,4386,3849,2984,10077,10039,13624,5135,4246,5726
"BFJEKD_17140",331,461,251,590,247,459,712,494,1007,409,480
"BFJEKD_17145",177,247,82,140,79,190,118,127,103,123,153
"BFJEKD_17150",484,609,346,347,289,422,442,443,295,210,379
"BFJEKD_17155",1068,1209,825,1434,709,622,873,925,1610,625,875
"BFJEKD_17160",987,2708,554,1180,590,756,1188,682,1094,502,523
"BFJEKD_17165",938,2352,194,993,289,333,560,229,1136,241,223
"BFJEKD_17170",3656,2046,23534,7427,22148,2244,4558,12282,5665,18115,11417
"BFJEKD_17175",958,1963,9849,3561,10331,2619,3560,5336,3676,8790,4532
"BFJEKD_17180",1235,1368,808,661,847,866,866,821,726,854,684
"BFJEKD_17185",617,703,347,538,323,388,505,426,524,455,500
"BFJEKD_17190",1449,891,715,1234,876,579,709,866,1469,866,1183
"BFJEKD_17195",3211,2121,3544,2526,1608,3371,5144,4314,2807,1983,2599
"BFJEKD_17200",5083,5261,23304,5007,19345,11226,18081,23172,4414,13896,8868
"BFJEKD_17205",910,878,4099,1144,4106,3339,2937,5500,762,4305,2469
"BFJEKD_17210",384,364,1288,556,1594,1305,980,2230,867,1566,1013
"BFJEKD_17215",748,691,4221,3914,2519,1963,3847,4642,5717,2897,3083
"BFJEKD_17220",151,354,948,598,535,1218,2027,1689,604,809,867
"BFJEKD_17225",720,897,473,507,530,1146,941,1025,854,418,425
"BFJEKD_17230",362,1769,438,481,556,1069,758,661,714,530,314
"BFJEKD_17235",73,362,144,117,84,251,244,177,194,127,109
"BFJEKD_17240",1,21,4,8,3,25,27,8,9,9,8
"BFJEKD_17245",406,1050,594,794,494,776,1287,773,928,450,589
"BFJEKD_17250",109,638,309,392,290,508,441,420,469,352,396
"BFJEKD_17255",708,1770,2794,1866,3106,2889,2793,2280,1570,2949,1941
"BFJEKD_17260",571,1406,1051,837,821,336,347,770,497,1087,822
"BFJEKD_17265",317,563,388,572,457,267,236,551,402,706,410
"BFJEKD_17270",1444,4585,1424,2063,2027,3605,2547,2737,2459,2066,2232
"BFJEKD_17275",4525,11132,2220,4116,1977,4860,4485,4483,3198,2417,3660
"BFJEKD_17280",494,1312,403,493,253,1687,2140,891,586,239,415
"BFJEKD_17285",2242,2758,1754,3316,1560,2140,2250,2552,2086,1755,3615
"BFJEKD_17290",250,638,328,471,218,314,329,307,255,288,731
"BFJEKD_17295",348,1338,1527,977,1227,741,874,610,1200,807,682
"BFJEKD_17300",1824,1672,849,1408,854,1058,938,889,1967,950,1359
"BFJEKD_17305",6746,6348,1584,3196,2089,2442,2819,2942,7633,1795,2300
"BFJEKD_17310",408,999,1045,661,1161,1115,1561,1551,1349,1044,779
"BFJEKD_17315",1528,3170,4644,2861,5014,3489,4348,5444,6077,4275,2631
"BFJEKD_17320",1061,2539,4073,3361,3498,3618,4288,3901,2151,3583,3019
"BFJEKD_17325",796,1712,1528,1381,1770,1582,1768,1451,1620,1896,1086
"BFJEKD_17330",817,1622,3906,2482,5246,4949,3880,2918,2976,4830,2154
"BFJEKD_17335",224,651,697,561,601,823,957,968,395,662,637
"BFJEKD_17340",801,1100,629,1002,535,491,716,746,813,679,938
"BFJEKD_17345",834,832,1288,3007,1067,573,639,1292,1406,1027,3009
"BFJEKD_17350",182,423,663,717,563,430,568,535,473,514,522
"BFJEKD_17355",109,1093,724,670,478,553,587,589,253,565,536
"BFJEKD_17360",148,531,1425,1289,777,1008,1680,1256,651,811,911
"BFJEKD_17365",1415,3564,2913,2686,1832,3651,5165,3797,1988,1894,3498
"BFJEKD_17370",145,334,580,511,494,626,426,503,223,523,1265
"BFJEKD_17375",3201,1528,8484,7835,7031,4754,4590,5636,4199,6126,13595
"BFJEKD_17380",7387,1560,7053,9288,6473,615,651,4689,4208,6783,14149
"BFJEKD_17385",5711,830,5867,7864,6269,775,697,4918,2883,5269,10465
"BFJEKD_17390",9405,2121,8074,8846,9389,1984,1699,7252,4274,6200,12549
"BFJEKD_17395",12948,3735,13031,9825,9691,4669,3991,7816,5083,8401,16744
"BFJEKD_17400",162,175,354,522,389,247,313,339,455,360,398
"BFJEKD_17405",1713,2316,1282,1276,1211,4972,3666,2042,1128,1164,1521
"BFJEKD_17410",273,263,360,367,403,642,611,562,295,430,398
"BFJEKD_17415",2341,4726,11424,4597,12263,2348,2306,5668,2020,11757,5354
"BFJEKD_17420",104,944,874,494,1317,1081,718,999,359,1102,433
"BFJEKD_17425",762,6523,1599,1308,1968,5941,4737,2612,1694,1648,1032
"BFJEKD_17430",1008,3878,3156,2127,3892,4798,4631,2577,4887,2869,1336
"BFJEKD_17435",5802,14630,7047,6199,7200,10582,11604,8288,11453,6483,5216
"BFJEKD_17440",438,3026,3449,1758,6471,6103,3920,2775,2105,4841,1443
"BFJEKD_17445",529,1567,1922,1236,2818,1225,1021,1188,1339,2855,1371
"BFJEKD_17450",413,941,993,537,774,271,316,552,417,819,689
"BFJEKD_17455",422,562,1079,868,748,427,641,661,716,1030,792
"BFJEKD_17460",1075,1323,1606,1516,1287,751,1245,1620,1996,1794,1244
"BFJEKD_17465",961,1876,2343,1999,2060,2305,2910,2882,2623,2595,2107
"BFJEKD_17470",611,1580,2603,1071,2406,2363,2463,3086,1058,2013,1637
"BFJEKD_17475",238,507,1168,640,1165,1128,963,1368,440,1201,821
"BFJEKD_17480",16127,6024,5871,5703,2736,11282,11831,4070,10489,4373,3422
"BFJEKD_17485",2137,958,553,1908,544,2015,1943,755,3230,681,727
"BFJEKD_17490",427,253,156,194,128,416,436,176,218,162,95
"BFJEKD_17495",552,1291,1957,1394,1530,2157,2645,2579,1098,1740,1397
"BFJEKD_17500",7619,4369,23590,11800,23937,4359,7138,11736,13204,20737,13440
"BFJEKD_17505",68,114,150,141,241,119,92,89,149,266,65
"BFJEKD_17510",29,114,60,68,89,252,133,79,95,126,36
"BFJEKD_17515",102,316,167,162,152,1061,891,332,290,182,121
"BFJEKD_17520",651,958,1116,834,1262,861,903,1009,807,1140,722
"BFJEKD_17525",33263,9954,5524,15269,3524,1933,2982,5820,9459,2898,10753
"BFJEKD_17530",8789,4095,3546,7635,1903,2084,2920,3615,5331,1711,6554
